,city_name,city_part
0,Абакан,абакан
1,Анадырь,анадыр
2,Архангельск,архангельск
3,Астрахань,астрахан
4,Барнаул,барнаул
5,Белгород,белгород
6,Биробиджан,биробиджан
7,Благовещенск,благовещенск
8,Брянск,брянск
9,Великий Новгород,новгород
10,Владивосток,владивосток
11,Владикавказ,владикавказ
12,Владимир,владимир
13,Волгоград,волгоград
14,Вологда,вологд
15,Воронеж,воронеж
16,Горно-Алтайск,алтайск
17,Грозный,грозн
18,Екатеринбург,екатеринбург
19,Иваново,иваново
20,Ижевск,ижевск
21,Иркутск,иркутск
22,Йошкар-Ола,йошкар-ол
23,Казань,казан
24,Калининград,калининград
25,Калуга,калуг
26,Кемерово,кемерово
27,Киров,киров
28,Кострома,костром
29,Краснодар,краснодар
30,Красноярск,красноярск
31,Курган,курган
32,Курск,курск
33,Кызыл,кызыл
34,Липецк,липецк
35,Магадан,магадан
36,Магас,магас
37,Майкоп,майкоп
38,Махачкала,махачкал
39,Москва,москв
40,Мурманск,мурманск
41,Нальчик,нальчик
42,Нарьян-Мар,нарьян-мар
43,Нижний Новгород,новгород
44,Новосибирск,новосибирск
45,Омск,омск
46,Орёл,орёл
47,Оренбург,оренбург
48,Пенза,пенз
49,Пермь,перм
50,Петрозаводск,петрозаводск
51,Петропавловск-Камчатский,петропавловск
52,Псков,псков
53,Ростов-на-Дону,ростов
54,Рязань,рязань
55,Салехард,салехард
56,Самара,самар
57,Санкт-Петербург,петербург
58,Саранск,саранск
59,Саратов,саратов
60,Севастополь,севастопол
61,Симферополь,симферопол
62,Смоленск,смоленск
63,Ставрополь,ставропол
64,Сыктывкар,сыктывкар
65,Тамбов,тамбов
66,Тверь,твер
67,Томск,томск
68,Тула,тул
69,Тюмень,тюмен
70,Улан-Удэ,улан
71,Ульяновск,ульяновск
72,Уфа,уф
73,Хабаровск,хабаровск
74,Ханты-Мансийск,ханты
75,Чебоксары,чебоксар
76,Челябинск,челябинск
77,Черкесск,черкесск
78,Чита,чит
79,Элиста,элист
80,Южно-Сахалинск,сахалинск
81,Якутск,якутск
82,Ярославль,ярославл
